a,ひとつの 
occasion,引き起こす 
ocean,大洋 
offer,～を申し出る 
officer,公務員 
official,公務木の 
oneself,自分自身が 
onion,玉葱 
opera,オペラ 
opinion,意見 
opposite,向こう側の 
ought,～すべきである 
ourselves,私たち自身 
oven,天火 
owe,～を借りている 
own,自分自身の 
owner,オーナー 
pack,人材・カードなどをえり好みする 
package,包み 
pain,苦痛 
painful,痛い 
painter,画家 
painting,塗る 
pajamas,パジャマ 
palace,宮殿 
pan,カメラを上下に動かす 
panda,パンダ 
papa,パパ 
parade,行進 
pardon,罪・過失などを許す 
particular,特にこの 
partly,部分的に 
passage,通過 
passenger,乗客 
passport,旅券 
path,小道 
patient,忍耐強い 
pattern,模様 
pause,小休止 
pea,エンドウ豆 
peace,平和 
peaceful,平和な 
peach,密告する 
peak,山頂 
peanut,落花生 
pearl,真珠 
pepper,こしょう 
perfect,～を完成する 
perform,困難なことなどを成し遂げる 
period,期間 
permit,人が～を許可する 
personal,一個人の 
photographer,写真家 
pie,パイ 
pillow,まくら 
pin,ピン・留め針・ピンの働きをする物 
pineapple,パイナップル 
pizza,ピッツァ 
plain,平編みの 
planet,惑星 
plastic,プラスチック 
plate,平皿 
platform,壇 
player,競技者 
pleasant,心地よい 
pleased,喜んだ 
pleasure,喜び 
plenty,たくさん 
poem,詩 
poet,詩人 
poison,毒毒薬 
pole,極 
policy,方針 
polish,～を磨く 
polite,礼儀正しい 
pond,池 
port,左舷 
position,位置 
positive,肯定した 
possibility,可能性 
possible,可能な 
pour,液体を注ぐ 
powder,粉 
powerful,強力な 
practical,実際上の 
praise,ほめること 
pray,祈る 
precious,高価な 
prefer,むしろ～のほうを好む 
prepare,物事の準備をする 
president,米国大統領 
press,～を押す 
prevent,物事が起こらないようにする 
pride,自尊心 
priest,聖職者 
prince,王子 
princess,王女 
print,～を印刷する 
prison,刑務所 
prisoner,囚人 
private,私的迭 
prize,賞 
probably,おそらく 
problem,問題 
process,作用 
produce,ある場所・地域などが～を産出する 
product,産物 
professional,プロ 
professor,教授 
profit,利益 
program,プログラム 
progress,前進 
proof,証拠 
proper,適切な 
propose,～を提案する 
protect,～を守る 
protection,保護すること 
prove,～を証明する 
provide,～を供給する 
public,公の 
publish,本・雑誌などを出版する 
punish,人を罰する 
pupil,生徒 
pure,混じりけのない 
purple,紫色 
purpose,目的 
purse,ハンドバッグ 
puzzle,悩ませる物 
quietly,静かに 
quite,まったく 
quiz,小テスト 
racket,ばか騒ぎ 
rail,ののしる 
railroad,鉄道 
railway,線路 
rainbow,虹 
raise,～を上げる 
rank,おい茂った 
rapid,速い 
rat,ネズミ 
rate,～をどなりつける 
rather,いくぶん 
raw,生の 
reader,読者 
realize,～を完全に理解する 
reason,理由 
reasonable,道理をわきまえた 
recently,人ごろ 
record,記録 
recover,～を再びおおう 
regard,人・物事などをみなす 
regular,いつもの 
remain,残る 
remove,～を取り去る 
repair,行く 
repeat,自分がすでに一度言ったことを繰り返して言う 
reply,答える 
report,人を言いつける 
reporter,報告者 
request,物事を頼む 
reserve,～を別にしておく 
respect,尊敬 
responsible,責任を伴う 
rest,残り 
result,結果 
ribbon,リボン 
role,役 
roll,球などが転がる 
root,声援する 
rough,粗い 
route,道筋 
row,列 
royal,王の 
ruler,支配者 
rumor,うわさ 
runner,走る人 
rush,突進する 
safety,安全 
sail,帆 
sailing,帆走 
sailor,水夫 
salary,給与 
sauce,ソース 
saying,言うこと 
schoolboy,男生徒 
schoolgirl,女生徒 
scientific,科学の 
scientist,科学者 
score,スコア 
scream,人が悲鳴をあげる 
secretary,秘書 
seller,売る人 
sense,感覚 
sentence,文 
separate,～を分離する 
serious,まじめな 
servant,召使 
serve,人が人に仕える 
service,奉仕 
seventeenth,17
seventh,第7の 
seventieth,第70の 
sex,性 
shade,陰 
shadow,陰 
shampoo,洗髪剤 
share,分け前 
sheet,帆脚索 
shock,穀類の刈り束 
shoot,銃・大砲を撃つ 
shore,支柱 
shot,shootの過去・過去分詞 
shout,叫ぶ 
shrimp,小えび 
sight,視力 
signal,信号 
silence,静けさ 
silk,生糸 
silly,愚かな 
similar,似ている 
single,たった一つの 
sink,船・太陽などが沈む・下降する 
sir,あなた 
sixteenth,第16の 
sixth,第6の 
sixtieth,第60の 
skate,スケートをする 
skating,スケートをする 
skirt,スカート 
slide,滑る 
slip,小片 
smooth,滑らかな 
social,社会の 
society,社会 
sock,～を殴る 
sofa,長いす 
soldier,軍人 
solid,固体の 
solve,問題などを解く 
somewhere,どこか 
sort,種類 
spaghetti,スパゲッティ 
spare,～を容赦する 
speaking,話をする 
speech,話す力 
spell,語をつづる 
spelling,字を綴ること 
spider,クモ 
spirit,精神 
spoken,speakの過去分詞 
spot,斑点 
spread,たたんだ物などを広げる 
stage,舞台・on stage 舞台上で・・off stage 舞台の陰で ：すてーじ 
stair,段 
standard,標準 
state,～をはっきり述べる 
steak,ステーキ 
steal,物を盗む 
steam,蒸気 
steel,鋼鉄 
stereo,ステロ版 
stick,～を刺す 
stomach,胃 
storm,あらし 
stranger,見知らぬ人 
straw,麦わら 
strawberry,イチゴ 
stream,小川 
strength,力 
stretch,手足・翼などをいっぱいに伸ばす 
strike,人をなぐる 
struggle,もがく 
stuff,材料 
stupid,ばかな 
style,流行型 
subject,主題 
succeed,計画などが成功する 
success,成功 
successful,成功した 
sudden,突然の 
suffer,苦しむ 
suggest,を提案する 
suitcase,スーツケース 
sundae,サンデー 
sunlight,日光 
sunset,夕焼け 
sunshine,日光 
super,管理人 
supper,夕食 
support,～を支える 
surely,確かに 
surprised,驚いた 
swallow,食物などを飲み込む 
swan,ハクチョウ 
sweat,汗 
sweater,セーター 
swing,～を振る 
symbol,象徴 
system,体系 
tail,尾 
tax,税 
tear,～を裂く 
teen,10代 
teenage,13歳から19歳までの 
teenager,ティーンエージャー 
temple,神殿 
tenth,第10の 
term,専門用語 
terrible,恐ろしい 
text,原文 
theater,劇場 
themselves,彼ら自身 
thief,泥棒 
thinking,思考力のある 
thirsty,のどの渇いた 
thirteenth,第13 
thirtieth,第30 
thought,think の過去・過去分詞 
throat,のど 
thumb,親指 
tight,きっちり締まった 
tiny,ちっぽけな 
tip,先 
tire,人などを疲れさせる 
title,題名 
tobacco,タバコの木 
ton,トン 
tool,道具 
toothbrush,歯ブラシ 
toothpaste,練り歯磨き 
topic,話題 
total,総計の 
tour,観光旅行・小旅行・巡業 
tourist,観光旅行者 
track,通った跡 
trade,商業 
traffic,往来 
training,訓練 
trick,芸当 
truck,市場向け野菜 
trumpet,トランペット 
trust,信頼 
truth,真実 
tube,管 
tulip,チューリップ 
tummy,おなか 
turkey,七面鳥 
twelfth,第12の 
twentieth,第20の 
twice,2回 
twin,双生児の一人 
unable,できない 
understanding,事を理解する 
underwear,下着 
unhappy,悲しい 
uniform,不変の 
university,総合大学 
unless,もし?でなければ 
upper,上のほうの 
upstairs,階上へ 
used,慣れている 
valley,谷 
valuable,価値のある 
value,価値 
view,見ること 
violent,乱暴な 
violet,スミレ 
vocabulary,語彙 
volleyball,バレーボール 
vote,票 
waiter,給仕人 
waitress,女給仕人 
walker,散歩する人 
warn,人に警告する 
warning,警告 
waste,金・時間・路力などをむだに使う 
wealth,富 
weather,外気で変色する 
wedding,結婚式 
weekly,毎週の 
weigh,～の重さを計る 
weight,重さ 
western,西の 
wheel,車輪 
whether,～かどうかということ 
whiskey,ウイスキー 
whole,全体の 
willing,喜んでする 
win,勝つ 
wing,翼 
wipe,物などをふく 
wire,針金 
wish,～であればよいのにと思う 
within,～以内に 
wolf,オオカミ 
wonder,驚くべきもの 
wooden,木製の 
wool,羊毛 
worker,仕事をする人 
worried,心配そうな 
worse,もっと悪い 
worth,価値がある 
writer,作家 
writing,書くこと 
yeah,いぇい 
yet,まだ 
yourself,あなた自身 
yourselves,yourself の複数形 
youth,若さ 
zero,0
absence,るす 
absolute,まったくの 
academic,学園の 
access,接近 
accompany,人などに同行する 
according,従って 
achieve,目標などを達成する 
addition,付け加えること 
additional,付加的な 
admit,～を入れる 
adopt,考え・習慣などを取り入れる 
advance,～を前進させる 
advantage,有利な立場 
adviser,忠告者 
affair,事 
affect,～に影響する 
afford,金・時間の余裕がある 
agreement,一致 
aid,～を助ける 
aircraft,航空機 
airmail,航空郵便 
alarm,警報 
alcohol,アルコール 
alike,同じように 
aloud,声を出して 
although,～ではあるが 
altogether,まったく 
ambulance,救急車 
analysis,分析 
angle,魚釣りをする 
ankle,くるぶし 
announcement,発表 
announcer,知らせる人 
anyhow,どうしても 
anymore,もはや 
appeal,訴える 
application,適用 
appoint,任命する 
appointment,任命 
approve,事をよいと認める 
arch,アーチ 
argue,議論する 
argument,議論する 
arrest,～を逮捕する 
arrow,矢 
article,記事 
ashamed,恥じて 
asparagus,アスパラガス 
assistance,手伝い 
assistant,援助する 
atlas,環椎 
atom,原子 
atomic,原子の 
attach,～をつける 
attempt,～を企てる 
attitude,姿勢 
attract,～を引きつける 
attractive,魅力のある 
audio,可聴周波の 
author,著者 
authority,権威 
automatic,自動の 
available,利用できる 
avenue,並木道 
average,平均 
avoid,危険・いやなものを避ける 
babysitter,るす番の子守り 
background,背景 
backyard,裏庭 
baggage,手荷物 
bakery,パン製造所 
baking,焼くこと 
balcony,バルコニー 
banker,銀行家 
barber,理髪師 
bare,裸の 
bargain,契約 
bark,ほえる 
basement,地下室 
basis,根拠 
bathe,子供などを入浴させる 
bathtub,バスタブ 
battery,砲兵中隊 
beast,動物 
bedtime,就寝時刻 
beefsteak,牛肉の切り身 
beg,食物・衣服・金銭などをくださいと頼む 
beginner,初学者 
being,存在 
belief,信念 
believer,信じる人 
beneath,～の下に 
benefit,ためになること 
besides,～に加えて 
bet,かけ・かけ 
Bible,聖書 
bind,～をしばる 
biscuit,小型パン 
bitter,苦い 
blank,白紙の 
bless,神などが～を人に授ける 
blouse,ブラウス 
boast,自慢する 
bold,大胆な 
bomb,爆弾 
bookcase,本箱 
bookseller,書籍商 
bookshelf,本だな 
border,ヘリ 
bore,人をうんざりさせる 
bored,人をうんざりさせる 
bound,bindの過去・過去分詞 
bowling,球ころがし 
boxer,ボクサー 
boxing,ボクシング 
brand,種類 
breast,胸 
breed,動物が子を生む 
brightly,輝いて 
broccoli,ブロッコリー 
brow,まゆ 
bubble,あわ 
bucket,バケツ 
bull,乱暴なことをする 
bullet,弾丸 
bunch,ふさ 
burger,バーガー 
bury,死体を埋葬する 
busily,忙しく 
businesswoman,女実業家 
cabbage,キャベツ 
cafeteria,カフェテリア 
calm,穏やかな 
calmly,静かに 
cancel,約束や注文などを取り消す 
canoe,カヌー 
carbon,炭素 
career,生涯 
careless,哀注意な 
carpet,じゅうたん 
carriage,四輪馬車 
carrot,人参 
cart,二輪車 
cassette,カセット 
casual,むぞうさな 
celebrate,～を祝う 
celebration,祝賀 
cell,独房 
ceremony,儀式 
chairman,議長 
challenge,挑戦 
channel,水路 
chapel,礼拝堂 
chart,海図 
chase,電線用みぞ 
cheerful,きげんのよい 
chemical,化学の 
childhood,子供の状態 
chimney,煙突 
chimpanzee,チンパンジー 
chin,あご 
Christ,イエスキリスト 
circus,サーカス 
classic,規範となる 
cleaner,掃除機 
cleanly,きれいに 
client,弁護依頼人 
cliff,がけ 
climate,気候 
climbing,登る 
closed,閉店した 
closely,ぴったりと 
clothe,～に衣服を着せる 
clothing,衣類 
cocktail,カクテル 
coffeepot,コーヒー沸かし器 
cola,colonの複数形 
collar,えり 
collector,収集家 
comb,くし 
combination,組み合わせ 
comfortably,快適 
comment,論評 
commercial,商業上の 
committee,委員会 
communicate,通信 
communication,コミュニケーション 
community,共同会社 
compact,ぎっしり詰まった 
competition,競争 
complaint,不平 
complex,いくつかの部分から成る 
composition,組成 
concern,物・事が～に関係する 
conduct,行為 
confidence,信頼 
confirm,情報・所信などの正しさを覚証する 
connect,2個の物を連結する 
connection,関係 
conscious,意識的な 
consider,～をよく考える 
considerable,かなりの 
contact,接触 
continent,大陸 
contract,契約 
convenient,便利な 
costume,服装 
cough,せき 
countryside,田舎 
covering,おおうこと 
crack,割れ目 
crayon,クレヨン 
creative,創造力のある 
creature,生物 
credit,信用 
crime,犯罪 
criminal,犯罪の 
crop,作物 
cruel,ひどい 
crush,～を押しつぶす 
cupboard,食器だな 
cure,主任司祭 
curl,巻き毛カール 
curry,カレー粉 
cushion,クッション 
cutter,切る人 
darkness,暗さ 
data,資料 
dawn,夜明け 
daytime,昼 
deck,デッキ 
decrease,～を減らす 
deer,シカ 
defeat,相手を負かす 
delay,～を延期する 
delight,大喜び 
delighted,うれしい 
democracy,民主政治 
democratic,民主主義の 
description,記述 
deserve,賞罰・評価などに値する 
desire,～を切望する 
determine,～を決定する 
development,開発 
device,工夫 
devil,悪魔 
diet,飲食物 
differently,異なって 
director,指導者 
dirt,不潔な物 
disappoint,を失望させる 
disappointment,失望 
discovery,発見 
dismiss,～を去らせる 
display,物を展示する 
distribution,配分 
document,文書 
doing,活動 
domestic,家庭の 
dramatic,劇の 
drawer,手形振出人 
drawing,線で描くこと 
drugstore,ドラッグストア 
drum,太鼓 
duck,頭をひょいと下げる 
due,支払われるべき 
dull,鈍い 
eager,熱望している 
eagle,ワシ 
earthquake,地震 
ease,気楽さ 
eastern,東の 
economic,実用的な 
economy,節約 
educational,教育の 
effective,効果的な 
elect,議長・議員などを選ぶ 
election,選挙 
element,元素 
elsewhere,どこかよそに 
emotion,強い感情 
employ,人を雇う 
employee,雇い人 
employer,雇い主 
employment,雇用 
encourage,勇気づける 
engineering,エンジニアリング 
entertain,人を楽しませる 
entertainment,娯楽 
entire,全体の 
entirely,全く 
environment,環境 
equally,平等に 
equipment,備品 
escalator,エスカレーターもと商標名 
essay,小論 
essential,絶対必要な 
establish,～を設立する 
evidence,証拠 
evil,邪悪な 
exception,除外すること除外 
exchange,～を取り替える 
excite,人を興奮させる 
excited,興奮した 
excitement,興奮 
